stop_id,stop_lat,stop_lon
105,48.56285980,007.64168683
106,48.56106162,007.64177150
107,48.55926344,007.64185615
108,48.55746526,007.64194080
109,48.55566708,007.64202543
110,48.53768517,007.64287140
111,48.53588698,007.64295595
112,48.53408878,007.64304050
113,48.51790491,007.64380107
114,48.51610670,007.64388554
115,48.51430848,007.64397001
116,48.51251027,007.64405446
117,48.55932092,007.64456346
118,48.55752274,007.64464801
119,48.54133902,007.64540861
120,48.53774262,007.64557754
121,48.51976055,007.64642177
122,48.51796234,007.64650615
123,48.51616412,007.64659053
124,48.51436590,007.64667489
125,48.51256768,007.64675925
126,48.51076946,007.64684360
127,48.58994727,007.64583390
128,48.58814911,007.64591849
129,48.58635094,007.64600306
130,48.58455278,007.64608763
131,48.58275461,007.64617219
132,48.56117652,007.64718631
133,48.55937833,007.64727077
134,48.55758015,007.64735522
135,48.54139641,007.64811495
136,48.53959821,007.64819933
137,48.51801970,007.64921124
138,48.51622148,007.64929551
139,48.51442326,007.64937978
140,48.51262504,007.64946404
141,48.51082681,007.64954830
142,48.50363390,007.64988523
143,48.60978436,007.64761302
144,48.60798621,007.64769759
145,48.58820649,007.64862736
146,48.58640833,007.64871184
147,48.58461016,007.64879631
148,48.58281199,007.64888077
149,48.56123386,007.64989373
150,48.55763749,007.65006245
151,48.54505013,007.65065272
152,48.54325193,007.65073702
153,48.54145373,007.65082130
154,48.53965553,007.65090558
155,48.51987521,007.65183214
156,48.51807699,007.65191633
157,48.51627877,007.65200051
158,48.51448054,007.65208468
159,48.51088410,007.65225300
160,48.48930527,007.65326228
161,48.60984170,007.65032307
162,48.60804355,007.65040754
163,48.58826381,007.65133624
164,48.58646564,007.65142062
165,48.58466747,007.65150499
166,48.56308934,007.65251688
167,48.56129115,007.65260115
168,48.55949296,007.65268542
169,48.55769477,007.65276968
170,48.54690560,007.65327507
171,48.54510740,007.65335927
172,48.53971279,007.65361184
173,48.51993244,007.65453734
174,48.51813422,007.65462143
175,48.51633599,007.65470551
176,48.51453777,007.65478958
177,48.60989899,007.65303312
178,48.58832106,007.65404512
179,48.58652289,007.65412941
180,48.58472472,007.65421368
181,48.58292655,007.65429795
182,48.56134837,007.65530858
183,48.55955017,007.65539275
184,48.55775198,007.65547691
185,48.54516459,007.65606583
186,48.54336639,007.65614993
187,48.51459492,007.65749449
188,48.58658008,007.65683820
189,48.56500190,007.65784785
190,48.56320371,007.65793193
191,48.56140552,007.65801601
192,48.54342352,007.65885639
193,48.54162531,007.65894039
194,48.51465201,007.66019940
195,48.49127489,007.66128917
196,48.48947664,007.66137294
197,48.48767839,007.66145671
